"Final Fantasy Card Name","Original MTG Name","Card Image","Card Set","Card Number","Print Variant","Available Variants","Treatment / Frame","Game Number","Rarity","Type Line","Color Identity","Owned","Non-Foil Qty","Foil Qty","Special Foil Qty","Total Quantity Owned","Condition","Price (USD)","Price (Foil)","Storage Location"
"Aerith, Last Ancient","","=IMAGE(""https://cards.scryfall.io/normal/front/a/a/aa1bd238-a9f5-4145-9668-eb49a3b4c2bf.jpg?1783904647"", 1)","FIC","0471","Wave Foil","Wave Foil","Borderless","FF7","Rare","Legendary Creature — Human Cleric Druid","GW","No",0,0,0,0,"Near Mint (NM)","",123.12,""
"Aerith, Last Ancient","","=IMAGE(""https://cards.scryfall.io/normal/front/8/2/82518d3f-9557-416b-9b4d-dfe3ffa57f88.jpg?1783906318"", 1)","FIC","0163","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF7","Rare","Legendary Creature — Human Cleric Druid","GW","No",0,0,0,0,"Near Mint (NM)",1.56,10.23,""
"Aerith Rescue Mission","","=IMAGE(""https://cards.scryfall.io/normal/front/3/1/3123d16c-e1e6-4659-a7a3-2ec6efc6bf08.jpg?1783906653"", 1)","FIN","0005","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Common","Sorcery","W","No",0,0,0,0,"Near Mint (NM)",0.2,0.28,""
"Aettir and Priwen","","=IMAGE(""https://cards.scryfall.io/normal/front/0/3/038710ca-c756-4e66-a9de-278e676c9f5b.jpg?1783906559"", 1)","FIN","0253","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Mythic","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",12.27,13.39,""
"Aettir and Priwen","","=IMAGE(""https://cards.scryfall.io/normal/front/d/7/d77bcdaf-eef4-485a-bf45-40d56815b62e.jpg?1783906151"", 1)","PFIN","253s","Promo","Traditional Foil, Promo","Standard","FF14","Mythic","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)","",19.22,""
"Aettir and Priwen","","=IMAGE(""https://cards.scryfall.io/normal/front/2/c/2ceea116-6197-45ec-a5a9-73588744b8a0.jpg?1783906523"", 1)","FIN","0350","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Mythic","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",18.16,40.2,""
"Ahriman","","=IMAGE(""https://cards.scryfall.io/normal/front/1/6/162a415c-5465-497e-8f4e-c6f09681641d.jpg?1783906624"", 1)","FIN","0087","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF3","Common","Creature — Eye Horror","B","No",0,0,0,0,"Near Mint (NM)",0.17,0.2,""
"Airship Crash","","=IMAGE(""https://cards.scryfall.io/normal/front/e/c/ec91c4e4-711f-464d-bc83-e6813f4fdcdb.jpg?1783906592"", 1)","FIN","0171","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Common","Instant","G","No",0,0,0,0,"Near Mint (NM)",0.17,0.24,""
"Blessing of the Oracle","Akroma's Will","=IMAGE(""https://cards.scryfall.io/normal/front/f/c/fc9c542d-ff46-4193-9972-68287879a8a0.jpg?1783906388"", 1)","FCA","0021","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Mythic","Instant","W","No",0,0,0,0,"Near Mint (NM)",34.14,135.12,""
"Al Bhed Salvagers","","=IMAGE(""https://cards.scryfall.io/normal/front/5/8/58ccdcfc-a669-480f-bded-4273cfaf2045.jpg?1783906624"", 1)","FIN","0088","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF10","Uncommon","Creature — Human Artificer Warrior","B","No",0,0,0,0,"Near Mint (NM)",0.22,0.32,""
"Alisaie Leveilleur","","=IMAGE(""https://cards.scryfall.io/normal/front/b/a/ba96f831-02cb-4a74-a2e4-7f76444e3cd7.jpg?1783906371"", 1)","FIC","0009","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Elf Wizard","W","No",0,0,0,0,"Near Mint (NM)",0.27,"",""
"Alisaie Leveilleur","","=IMAGE(""https://cards.scryfall.io/normal/front/d/e/de9e594c-fe46-4c24-8e64-a5929472453d.jpg?1783906330"", 1)","FIC","0129","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Elf Wizard","W","No",0,0,0,0,"Near Mint (NM)",3.16,11.71,""
"Alphinaud Leveilleur","","=IMAGE(""https://cards.scryfall.io/normal/front/6/5/65331e86-1ff3-45e4-b789-7afec4ca9bd5.jpg?1783906363"", 1)","FIC","0033","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Elf Wizard","U","No",0,0,0,0,"Near Mint (NM)",0.21,"",""
"Alphinaud Leveilleur","","=IMAGE(""https://cards.scryfall.io/normal/front/3/7/37e4ab61-bf18-4f9f-ba78-3e08a21aaf4d.jpg?1783906327"", 1)","FIC","0140","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Elf Wizard","U","No",0,0,0,0,"Near Mint (NM)",1.18,6.18,""
"Altered Ego","","=IMAGE(""https://cards.scryfall.io/normal/front/f/d/fda23b02-c650-4092-a35d-ae330547c425.jpg?1783906255"", 1)","FIC","0317","Surge Foil","Surge Foil","Standard","FF10","Rare","Creature — Shapeshifter","GU","No",0,0,0,0,"Near Mint (NM)",0.24,"",""
"Amarant Coral","","=IMAGE(""https://cards.scryfall.io/normal/front/0/0/00ef8f06-dfcc-4ffa-a054-b0c81b39dcc0.jpg?1783904652"", 1)","FIC","0457","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF9","Rare","Legendary Creature — Human Monk","GR","No",0,0,0,0,"Near Mint (NM)",3.74,2.84,""
"Amarant Coral // Amarant Coral","","=IMAGE(""https://cards.scryfall.io/normal/front/8/e/8e0f0337-e8ad-4ac0-ad1c-97ce6a36adb1.jpg?1783904662"", 1)","AFIC","0016","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF9","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Ambrosia Whiteheart","","=IMAGE(""https://cards.scryfall.io/normal/front/f/2/f2596767-7d19-4110-86ed-3cfc93ac7483.jpg?1783906654"", 1)","FIN","0006","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF16","Uncommon","Legendary Creature — Bird","W","No",0,0,0,0,"Near Mint (NM)",0.22,0.3,""
"Ambrosia Whiteheart","","=IMAGE(""https://cards.scryfall.io/normal/front/2/e/2ecefb14-23a2-44f4-a3aa-63c246f744e1.jpg?1783906532"", 1)","FIN","0325","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF16","Uncommon","Legendary Creature — Bird","W","No",0,0,0,0,"Near Mint (NM)",0.51,0.65,""
"Ambrosia Whiteheart","","=IMAGE(""https://cards.scryfall.io/normal/front/f/c/fcd2f288-9d05-465a-bb3e-2a444a027096.jpg?1783906494"", 1)","FIN","0424","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF16","Uncommon","Legendary Creature — Bird","W","No",0,0,0,0,"Near Mint (NM)",0.85,7.03,""
"Ancient Adamantoise","","=IMAGE(""https://cards.scryfall.io/normal/front/4/c/4c139f30-5ecd-48fd-ae7c-ec2cc98889ff.jpg?1783906591"", 1)","FIN","0172","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Mythic","Creature — Turtle","G","No",0,0,0,0,"Near Mint (NM)",3.06,5.4,""
"Ancient Adamantoise","","=IMAGE(""https://cards.scryfall.io/normal/front/7/9/7976e5ae-f2c3-467e-a4d5-b6c609d8aa26.jpg?1783906173"", 1)","PFIN","172s","Promo","Traditional Foil, Promo","Standard","FF15","Mythic","Creature — Turtle","G","No",0,0,0,0,"Near Mint (NM)","",33.45,""
"Dragon of Mount Gulg","Ancient Copper Dragon","=IMAGE(""https://cards.scryfall.io/normal/front/f/6/f6cbc754-8aed-4c32-857c-ea639943b5d2.jpg?1783906392"", 1)","FCA","0012","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF1","Mythic","Creature — Elder Dragon","R","No",0,0,0,0,"Near Mint (NM)",107.62,433.61,""
"Angelo","","=IMAGE(""https://cards.scryfall.io/normal/front/5/4/54347961-0a41-4f62-b47e-2afa0ca07b21.jpg?1783906131"", 1)","TFIN","0019","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Common","Token Legendary Creature — Dog","GW","No",0,0,0,0,"Near Mint (NM)","","",""
"Angel of the Ruins","","=IMAGE(""https://cards.scryfall.io/normal/front/f/d/fd9c99f0-390d-4ab1-ac0a-b18f1b0af12c.jpg?1783906295"", 1)","FIC","0229","Surge Foil","Surge Foil","Standard","FF6","Uncommon","Artifact Creature — Angel","W","No",0,0,0,0,"Near Mint (NM)",0.28,"",""
"Anger","","=IMAGE(""https://cards.scryfall.io/normal/front/4/8/484ade24-6c2c-4f7e-b561-da802a80e0bb.jpg?1783906264"", 1)","FIC","0289","Surge Foil","Surge Foil","Standard","FF6","Uncommon","Creature — Incarnation","R","No",0,0,0,0,"Near Mint (NM)",0.54,"",""
"An Offer You Can't Refuse","","=IMAGE(""https://cards.scryfall.io/normal/front/f/e/fe1023a2-c096-4c62-8627-e865b348ba02.jpg?1783906275"", 1)","FIC","0267","Surge Foil","Surge Foil","Standard","FF10","Uncommon","Instant","U","No",0,0,0,0,"Near Mint (NM)",3.03,"",""
"フェイタリズム","Arcane Denial","=IMAGE(""https://cards.scryfall.io/normal/front/8/a/8a5e5463-2451-48b7-a924-a81d2dd99671.jpg?1783906138"", 1)","RFIN","J2","Promo","Non-Foil, Traditional Foil, Promo","Borderless","FF14","Rare","Instant","U","No",0,0,0,0,"Near Mint (NM)",13.49,77.67,""
"Arcane Sanctum","","=IMAGE(""https://cards.scryfall.io/normal/front/8/2/82ce1102-a88c-46ff-9fc1-7153beb50b6a.jpg?1783906231"", 1)","FIC","0373","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Land","BUW","No",0,0,0,0,"Near Mint (NM)",0.38,"",""
"Arcane Signet","","=IMAGE(""https://cards.scryfall.io/normal/front/9/c/9ce66ebc-b39f-4b40-9d95-981629a5dd06.jpg?1783906246"", 1)","FIC","0332","Surge Foil","Surge Foil","Standard","FF6","Common","Artifact","Colorless","No",0,0,0,0,"Near Mint (NM)",0.49,"",""
"Arcane Signet","","=IMAGE(""https://cards.scryfall.io/normal/front/f/4/f4f7cc5b-a52a-470b-8970-260b61c91ad5.jpg?1783906247"", 1)","FIC","0333","Surge Foil","Surge Foil","Standard","FF7","Common","Artifact","Colorless","No",0,0,0,0,"Near Mint (NM)",0.44,"",""
"Arcane Signet","","=IMAGE(""https://cards.scryfall.io/normal/front/9/d/9df4b5a2-95bf-4268-9d75-6065176651d1.jpg?1785650657"", 1)","FIC","0334","Surge Foil","Surge Foil","Standard","FF10","Common","Artifact","Colorless","No",0,0,0,0,"Near Mint (NM)",0.42,"",""
"Arcane Signet","","=IMAGE(""https://cards.scryfall.io/normal/front/4/c/4c861c4c-0520-46d9-b281-63a1188417dc.jpg?1783906247"", 1)","FIC","0335","Surge Foil","Surge Foil","Standard","FF14","Common","Artifact","Colorless","No",0,0,0,0,"Near Mint (NM)",0.47,"",""
"Archaeomancer's Map","","=IMAGE(""https://cards.scryfall.io/normal/front/c/6/c6ff5063-c93f-4b21-8d08-ab0e8e046d39.jpg?1783906295"", 1)","FIC","0230","Surge Foil","Surge Foil","Standard","FF14","Rare","Artifact","W","No",0,0,0,0,"Near Mint (NM)",1.09,"",""
"Archfiend of Depravity","","=IMAGE(""https://cards.scryfall.io/normal/front/a/a/aa0ba9cb-e45c-4c23-baab-38e01391ec6b.jpg?1783906272"", 1)","FIC","0273","Surge Foil","Surge Foil","Standard","FF6","Rare","Creature — Demon","B","No",0,0,0,0,"Near Mint (NM)",0.46,"",""
"Archmage Emeritus","","=IMAGE(""https://cards.scryfall.io/normal/front/e/8/e85c555a-f034-4c79-92d8-610527d16529.jpg?1783906279"", 1)","FIC","0261","Surge Foil","Surge Foil","Standard","FF14","Rare","Creature — Human Wizard","U","No",0,0,0,0,"Near Mint (NM)",0.6,"",""
"Ardbert, Warrior of Darkness","","=IMAGE(""https://cards.scryfall.io/normal/front/9/f/9fc1ac8a-bbd4-4d17-81d9-fd04876084b1.jpg?1783906348"", 1)","FIC","0077","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Spirit Warrior","BW","No",0,0,0,0,"Near Mint (NM)",0.34,"",""
"Ardbert, Warrior of Darkness","","=IMAGE(""https://cards.scryfall.io/normal/front/8/6/866400d8-c94b-4b1a-ba5a-20f9d92476db.jpg?1783906318"", 1)","FIC","0164","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Spirit Warrior","BW","No",0,0,0,0,"Near Mint (NM)",2.49,10.29,""
"Ardyn, the Usurper","","=IMAGE(""https://cards.scryfall.io/normal/front/4/6/4627072e-9c72-4084-8021-690777342548.jpg?1785650696"", 1)","FIN","0089","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Rare","Legendary Creature — Elder Human Noble","B","No",0,0,0,0,"Near Mint (NM)",0.98,1.38,""
"Ardyn, the Usurper","","=IMAGE(""https://cards.scryfall.io/normal/front/4/7/47af882d-2036-4b66-bff0-31b7b8b89749.jpg?1785650703"", 1)","PFIN","89s","Promo","Traditional Foil, Promo","Standard","FF15","Rare","Legendary Creature — Elder Human Noble","B","No",0,0,0,0,"Near Mint (NM)","",7.34,""
"Ardyn, the Usurper","","=IMAGE(""https://cards.scryfall.io/normal/front/4/1/41ae833d-77ee-4876-8990-591ae0d800ab.jpg?1783906534"", 1)","FIN","0315","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Rare","Legendary Creature — Elder Human Noble","B","No",0,0,0,0,"Near Mint (NM)",3.17,7.24,""
"Ardyn, the Usurper","","=IMAGE(""https://cards.scryfall.io/normal/front/3/5/35090ce1-6fb4-438c-88e9-dd116d550a92.jpg?1783906511"", 1)","FIN","0379","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Rare","Legendary Creature — Elder Human Noble","B","No",0,0,0,0,"Near Mint (NM)",2.24,2.55,""
"Ardyn, the Usurper","","=IMAGE(""https://cards.scryfall.io/normal/front/c/4/c4c34b33-4b03-4225-ac22-a34efe173b42.jpg?1785650710"", 1)","FIN","0444","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF15","Rare","Legendary Creature — Elder Human Noble","B","No",0,0,0,0,"Near Mint (NM)",2.27,10.74,""
"Ardyn, the Usurper","","=IMAGE(""https://cards.scryfall.io/normal/front/3/4/34bd7a66-afb1-4a6b-80b3-fce1bb361d88.jpg?1783906451"", 1)","FIN","0524","Surge Foil","Surge Foil","Borderless","FF15","Rare","Legendary Creature — Elder Human Noble","B","No",0,0,0,0,"Near Mint (NM)","",16.37,""
"A Realm Reborn","","=IMAGE(""https://cards.scryfall.io/normal/front/d/1/d1af74e4-38d5-44b5-85e1-4d13f6970453.jpg?1783906582"", 1)","FIN","0196","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Rare","Enchantment","G","No",0,0,0,0,"Near Mint (NM)",0.41,0.56,""
"A Realm Reborn","","=IMAGE(""https://cards.scryfall.io/normal/front/1/3/13f4b6f3-736f-4f33-9d05-9bfd0b05b214.jpg?1783904642"", 1)","FIN","0566","Wave Foil","Wave Foil","Borderless","FF14","Rare","Enchantment","G","No",0,0,0,0,"Near Mint (NM)","",34.58,""
"A Realm Reborn","","=IMAGE(""https://cards.scryfall.io/normal/front/6/1/610e4aad-f7d7-42af-81e3-408989f3f576.jpg?1783906168"", 1)","PFIN","196s","Promo","Traditional Foil, Promo","Standard","FF14","Rare","Enchantment","G","No",0,0,0,0,"Near Mint (NM)","",3.2,""
"A Realm Reborn","","=IMAGE(""https://cards.scryfall.io/normal/front/a/a/aa78ab04-6ddf-4a67-8bcf-0da4646a1e48.jpg?1783906527"", 1)","FIN","0344","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Rare","Enchantment","G","No",0,0,0,0,"Near Mint (NM)",1.2,2.39,""
"Armory Automaton","","=IMAGE(""https://cards.scryfall.io/normal/front/9/9/99fbb6f1-0584-45c2-b4c5-0431447913d4.jpg?1783906242"", 1)","FIC","0336","Surge Foil","Surge Foil","Standard","FF7","Rare","Artifact Creature — Construct","Colorless","No",0,0,0,0,"Near Mint (NM)",0.21,"",""
"Ash Barrens","","=IMAGE(""https://cards.scryfall.io/normal/front/7/7/77df073b-49dc-4743-82a3-d595bc938761.jpg?1783906229"", 1)","FIC","0374","Surge Foil","Surge Foil","Standard","FF6","Common","Land","Colorless","No",0,0,0,0,"Near Mint (NM)",0.33,"",""
"Ashe, Princess of Dalmasca","","=IMAGE(""https://cards.scryfall.io/normal/front/f/f/ffe0596f-ef99-4862-9386-0fe455259995.jpg?1783906653"", 1)","FIN","0007","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF12","Uncommon","Legendary Creature — Human Rebel Noble","W","No",0,0,0,0,"Near Mint (NM)",0.25,0.27,""
"Ashe, Princess of Dalmasca","","=IMAGE(""https://cards.scryfall.io/normal/front/9/b/9b103e50-8bac-41d4-966e-a5d42132bc12.jpg?1783906492"", 1)","FIN","0425","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF12","Uncommon","Legendary Creature — Human Rebel Noble","W","No",0,0,0,0,"Near Mint (NM)",2.39,16.07,""
"Astrologian's Planisphere","","=IMAGE(""https://cards.scryfall.io/normal/front/b/f/bfa4e927-1d6f-4a64-9801-7d168a5ef3f6.jpg?1783906640"", 1)","FIN","0046","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Rare","Artifact — Equipment","U","No",0,0,0,0,"Near Mint (NM)",0.31,0.61,""
"Astrologian's Planisphere","","=IMAGE(""https://cards.scryfall.io/normal/front/a/0/a0f6e2d7-58b5-4a7d-8c42-e25185cd173f.jpg?1783906430"", 1)","FIN","0581","Surge Foil","Surge Foil","Standard","FF14","Rare","Artifact — Equipment","U","No",0,0,0,0,"Near Mint (NM)","",4.32,""
"Astrologian's Planisphere","","=IMAGE(""https://cards.scryfall.io/normal/front/8/9/89e3ef53-ccb6-4b8e-a512-c9debf87eecf.jpg?1783906194"", 1)","PFIN","46s","Promo","Traditional Foil, Promo","Standard","FF14","Rare","Artifact — Equipment","U","No",0,0,0,0,"Near Mint (NM)","",5.83,""
"Astrologian's Planisphere // Astrologian's Planisphere","","=IMAGE(""https://cards.scryfall.io/normal/front/b/3/b3cdbce0-eba7-4be8-b6fc-b7fdd2a435eb.jpg?1783906425"", 1)","AFIN","0004","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF14","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Sephiroth, the Savior","Atraxa, Grand Unifier","=IMAGE(""https://cards.scryfall.io/normal/front/b/e/be326fe9-4ed8-4f64-934c-9955edea5fdb.jpg?1783906381"", 1)","FCA","0049","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF7","Mythic","Legendary Creature — Phyrexian Angel","BGUW","No",0,0,0,0,"Near Mint (NM)",30.58,294.97,""
"Auron's Inspiration","","=IMAGE(""https://cards.scryfall.io/normal/front/7/7/77d82764-563c-4bc2-b568-625ec7215e0d.jpg?1783906653"", 1)","FIN","0008","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF10","Uncommon","Instant","W","No",0,0,0,0,"Near Mint (NM)",0.16,0.24,""
"Auron, Venerated Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/c/b/cb82d614-13d8-40ec-9213-8e6852d37c9c.jpg?1783906371"", 1)","FIC","0010","Surge Foil","Surge Foil","Standard","FF10","Rare","Legendary Creature — Human Spirit Samurai","W","No",0,0,0,0,"Near Mint (NM)",0.28,"",""
"Auron, Venerated Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/1/2/12646217-db83-4b47-8f79-388c925dce77.jpg?1783906330"", 1)","FIC","0130","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF10","Rare","Legendary Creature — Human Spirit Samurai","W","No",0,0,0,0,"Near Mint (NM)",1.32,7.27,""
"Austere Command","","=IMAGE(""https://cards.scryfall.io/normal/front/9/3/93e3dbd9-20f6-47a2-8246-c260b2ead9dc.jpg?1783906292"", 1)","FIC","0231","Surge Foil","Surge Foil","Standard","FF7","Rare","Sorcery","W","No",0,0,0,0,"Near Mint (NM)",0.33,"",""
"Authority of the Consuls","","=IMAGE(""https://cards.scryfall.io/normal/front/5/3/53e3fa87-8de0-4e3a-90bf-780dd0a9fb48.jpg?1783906294"", 1)","FIC","0232","Surge Foil","Surge Foil","Standard","FF14","Rare","Enchantment","W","No",0,0,0,0,"Near Mint (NM)",4.46,"",""
"Avalanche of Sector 7","","=IMAGE(""https://cards.scryfall.io/normal/front/2/0/20a87dbc-5deb-42ae-9097-806e9a27466f.jpg?1783906357"", 1)","FIC","0053","Surge Foil","Surge Foil","Standard","FF7","Rare","Legendary Creature — Human Rebel","R","No",0,0,0,0,"Near Mint (NM)",0.22,"",""
"Avalanche of Sector 7","","=IMAGE(""https://cards.scryfall.io/normal/front/9/c/9c7bf45f-88f4-4b5f-a816-ae096e177ff0.jpg?1783906322"", 1)","FIC","0150","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF7","Rare","Legendary Creature — Human Rebel","R","No",0,0,0,0,"Near Mint (NM)",0.32,4.06,""
"Princess Sarah","Azusa, Lost but Seeking","=IMAGE(""https://cards.scryfall.io/normal/front/e/a/ea8e1f76-bd26-4037-8556-e348d50bfd95.jpg?1783906390"", 1)","FCA","0015","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF1","Rare","Legendary Creature — Human Monk","G","No",0,0,0,0,"Near Mint (NM)",10.63,46.17,""
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne","","=IMAGE(""https://cards.scryfall.io/normal/front/0/0/001e9f20-5b15-41cb-bf82-46172decc235.jpg?1783906558"", 1)","FIN","0272","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Rare","Land — Town // Legendary Artifact — Vehicle","GU","No",0,0,0,0,"Near Mint (NM)",0.3,0.42,""
